Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,HouseID,DaySold,MonthSold,YearSold,Schools nearby
2.0,0,1480000.0,1,2.5,3067.0,2.0,1.0,1.0,-0.2852572117327185,31,2,-0.7868257359112617,2,3,12,2016,2
2.0,0,1035000.0,1,2.5,3067.0,2.0,1.0,0.0,-0.32324066246468647,31,2,-0.7868257359112617,3,4,2,2016,2
3.0,0,1465000.0,3,2.5,3067.0,3.0,2.0,0.0,-0.341406660640845,31,2,-0.7868257359112617,5,4,3,2017,2
3.0,0,850000.0,0,2.5,3067.0,3.0,2.0,1.0,-0.3744357482338606,31,2,-0.7868257359112617,6,4,3,2017,2
4.0,0,1600000.0,4,2.5,3067.0,3.0,1.0,2.0,-0.3529668412984005,31,2,-0.7868257359112617,7,4,6,2016,2
2.0,0,941000.0,1,2.5,3067.0,2.0,1.0,0.0,-0.30259748271905174,31,2,-0.7868257359112617,11,7,5,2016,2
3.0,0,1876000.0,1,2.5,3067.0,4.0,2.0,0.0,-0.24975094257022676,31,2,-0.7868257359112617,12,7,5,2016,2
2.0,0,1636000.0,1,2.5,3067.0,2.0,1.0,2.0,-0.24066794348214748,31,2,-0.7868257359112617,15,8,10,2016,2
1.0,2,300000.0,1,2.5,3067.0,1.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,18,8,10,2016,2
2.0,0,1097000.0,1,2.5,3067.0,3.0,1.0,2.0,-0.2703941223158615,31,2,-0.7868257359112617,19,8,10,2016,2
2.0,2,700000.0,4,2.5,3067.0,2.0,2.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,24,12,11,2016,2
3.0,0,1350000.0,4,2.5,3067.0,3.0,2.0,2.0,-0.27534848545481383,31,2,-0.7868257359112617,25,12,11,2016,2
2.0,2,750000.0,1,2.5,3067.0,2.0,2.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,26,12,11,2016,2
2.0,0,1172500.0,1,2.5,3067.0,2.0,1.0,1.0,-0.29103730206149625,31,2,-0.7868257359112617,29,13,8,2016,2
1.0,2,441000.0,3,2.5,3067.0,1.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,30,14,5,2016,2
2.0,0,1310000.0,1,2.5,3067.0,2.0,1.0,2.0,-0.2555310328990045,31,2,-0.7868257359112617,31,15,10,2016,2
3.0,0,1200000.0,1,2.5,3067.0,3.0,2.0,1.0,-0.3587469316271782,31,2,-0.7868257359112617,33,16,7,2016,2
3.0,0,1176500.0,1,2.5,3067.0,2.0,1.0,1.0,-0.33810375188154346,31,2,-0.7868257359112617,36,16,7,2016,2
3.0,0,955000.0,1,2.5,3067.0,3.0,1.0,0.0,-0.30094602833940093,31,2,-0.7868257359112617,37,17,9,2016,2
2.0,0,890000.0,1,2.5,3067.0,2.0,1.0,1.0,-0.3281950256036388,31,2,-0.7868257359112617,38,17,9,2016,2
4.0,0,1330000.0,0,2.5,3067.0,4.0,2.0,2.0,0.19201310398635674,31,2,-0.7868257359112617,39,18,3,2017,2
3.0,1,900000.0,1,2.5,3067.0,3.0,2.0,2.0,-0.4520541040774472,31,2,-0.7868257359112617,41,18,3,2017,2
3.0,2,1090000.0,1,2.5,3067.0,3.0,2.0,2.0,3.0903155402734748,31,2,-0.7868257359112617,42,18,3,2017,2
2.0,2,500000.0,1,2.5,3067.0,2.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,43,18,6,2016,2
2.0,0,1100000.0,0,2.5,3067.0,2.0,2.0,1.0,-0.34966393253909894,31,2,-0.7868257359112617,44,18,6,2016,2
2.0,0,1315000.0,1,2.5,3067.0,2.0,1.0,0.0,-0.33067220717311496,31,2,-0.7868257359112617,45,19,11,2016,2
1.0,2,426000.0,3,2.5,3067.0,1.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,49,22,8,2016,2
3.0,0,1447500.0,0,2.5,3067.0,3.0,3.0,1.0,-0.31498339056643254,31,2,-0.7868257359112617,50,22,8,2016,2
1.0,2,457000.0,1,2.5,3067.0,1.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,51,22,8,2016,2
2.0,0,1135000.0,1,2.5,3067.0,2.0,2.0,2.0,-0.37113283947455905,31,2,-0.7868257359112617,52,22,8,2016,2
4.0,0,1542000.0,1,2.5,3067.0,4.0,3.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,54,24,9,2016,2
3.0,0,1290000.0,1,2.5,3067.0,3.0,2.0,2.0,-0.33067220717311496,31,2,-0.7868257359112617,56,25,2,2017,2
3.0,0,1290000.0,1,2.5,3067.0,3.0,1.0,1.0,-0.3133319361867818,31,2,-0.7868257359112617,57,25,2,2017,2
1.0,2,470000.0,1,2.5,3067.0,1.0,1.0,1.0,-0.4520541040774472,31,2,-0.7868257359112617,58,26,7,2016,2
2.0,0,1180000.0,1,2.5,3067.0,2.0,1.0,0.0,-0.3182862993257341,31,2,-0.7868257359112617,59,27,11,2016,2
